id;name_serveur;cpu;memory;disque;avalibity
1;Mandatory Assistant;StrategistXXXXX;55600;4315;Lead
2;Principal Senior;ParaguayXXXXXXX;96930;7543;Tuna magenta
3;Wells;Naira iterateXX;73710;4544;web-enabled Brand Regional
4;Generic B2B;oliveXXXXXXXXXX;46369;38826;Persevering analyzing
5;Engineer Architect;Beauty dynamic schemas;60278;68473;Keyboard
6;Licensed Usability models;Personal Loan Account markets;93272;87666;Aruba Chair portals
7;online Strategist Shirt;navigate redefine;82916;84211;bypassing Bypass
8;Plastic Movies;SMSXXXXXXXXXXXX;81290;53434;parse Customer Rhode Island
9;Accounts navigating Ergonomic;purple User-friendly;27473;60617;Synergized
10;calculate Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;52016;30777;connecting Planner Refined
